teta° nofilter	Zr	Mo
2,5	2	3	4
2,6	2	7	2
2,7	3	2	2
2,8	2	3	2
2,9	1	7	0
3,0	3	9	4
3,1	3	3	4
3,2	2	6	2
3,3	1	12	0
3,4	5	4	2
3,5	3	11	3
3,6	2	7	3
3,7	3	2	1
3,8	3	6	2
3,9	3	3	1
4,0	4	12	0
4,1	5	7	0
4,2	4	6	2
4,3	9	10	1
4,4	26	8	2
4,5	68	33	4
4,6	159	56	3
4,7	199	70	5
4,8	217	81	6
4,9	281	71	10
5,0	330	89	10
5,1	336	98	3
5,2	379	85	5
5,3	364	99	2
5,4	380	84	5
5,5	401	57	3
5,6	364	68	0
5,7	389	62	1
5,8	344	53	3
5,9	337	52	1
6,0	330	50	5
6,1	328	38	7
6,2	379	39	26
6,3	491	40	113
6,4	603	62	181
6,5	549	45	116
6,6	363	32	85
6,7	289	34	74
6,8	296	21	62
6,9	304	39	61
7,0	294	109	58
7,1	607	388	114
7,2	1101	773	215
7,3	1073	659	186
7,4	501	294	69
7,5	243	133	35
7,6	204	130	23
7,7	205	104	27
7,8	200	92	23
7,9	189	97	24
8,0	193	92	14
8,1	182	76	18
8,2	166	75	12
8,3	155	81	13
8,4	164	74	8
8,5	139	68	5
8,6	118	59	10
8,7	119	54	7
8,8	102	54	3
8,9	99	54	4
9,0	107	55	5
9,1	98	44	4
9,2	80	45	9
9,3	105	51	2
9,4	92	46	3
9,5	92	30	3
9,6	100	35	2
9,7	94	37	2
9,8	87	36	5
9,9	94	36	3
10,0	76	31	1
10,1	76	28	2
10,2	91	25	1
10,3	68	25	3
10,4	75	26	1
10,5	57	25	4
10,6	78	22	5
10,7	58	20	2
10,8	56	21	2
10,9	66	26	4
11,0	60	22	3
11,1	62	20	3
11,2	66	20	3
11,3	62	12	2
11,4	60	17	2
11,5	58	12	3
11,6	65	16	2
11,7	53	22	5
11,8	41	25	4
11,9	63	13	3
12,0	39	12	5
