,,,
θ ( graus ),θ rad,λ (metros),"Intensidade de luz, canal A ( % do máx. )"
"0,0","0,00","0,00000000","290,1"
"0,0","0,00","0,00000000","291,4"
"0,0","0,00","0,00000000","290,5"
"0,0","0,00","0,00000000","289,5"
"0,0","0,00","0,00000000","292,8"
"0,0","0,00","0,00000000","289,7"
"0,0","0,00","0,00000000","291,4"
"0,0","0,00","0,00000000","290,7"
"0,0","0,00","0,00000000","289,7"
"0,0","0,00","0,00000000","292,2"
"0,0","0,00","0,00000000","289,7"
"0,0","0,00","0,00000000","291,4"
"0,0","0,00","0,00000000","291,1"
"0,0","0,00","0,00000000","289,7"
"0,0","0,00","0,00000000","291,6"
"0,0","0,00","0,00000000","288,5"
"0,0","0,00","0,00000000","289,9"
"0,0","0,00","0,00000000","289,7"
"0,0","0,00","0,00000000","288,9"
"0,0","0,00","0,00000000","291,1"
"0,0","0,00","0,00000000","288,1"
"0,0","0,00","0,00000000","289,7"
"0,0","0,00","0,00000000","289,1"
"0,0","0,00","0,00000000","287,3"
"0,0","0,00","0,00000000","289,7"
"0,0","0,00","0,00000000","287,3"
"0,0","0,00","0,00000000","289,5"
"0,0","0,00","0,00000000","288,9"
"0,0","0,00","0,00000000","288,1"
"0,0","0,00","0,00000000","290,9"
"0,0","0,00","0,00000000","288,1"
"0,0","0,00","0,00000000","290,5"
"0,0","0,00","0,00000000","290,7"
"0,0","0,00","0,00000000","290,1"
"0,0","0,00","0,00000000",293
"0,0","0,00","0,00000000","290,9"
"0,0","0,00","0,00000000","299,5"
"0,0","0,00","0,00000000",308
"0,0","0,00","0,00000000","307,4"
"0,0","0,00","0,00000000","310,1"
"0,0","0,00","0,00000000","311,5"
"0,0","0,00","0,00000000","322,9"
"0,0","0,00","0,00000000","330,6"
"0,0","0,00","0,00000000","334,9"
"0,3","0,00","0,00000000","345,5"
"0,3","0,00","0,00000000","356,9"
"0,3","0,00","0,00000000","373,5"
"0,5","0,00","0,00000000","385,1"
"0,8","0,00","0,00000000","383,7"
"1,8","0,00","0,00000000","364,6"
"10,5","0,00","0,00000001","321,7"
"28,5","0,01","0,00000003","257,4"
"46,2","0,01","0,00000004","151,2"
"62,8","0,02","0,00000006",13
"79,2","0,02","0,00000008","-87,9"
"94,0","0,03","0,00000009","-159,5"
"109,5","0,03","0,00000011","-200,2"
"123,2","0,04","0,00000012","-232,6"
"135,7","0,04","0,00000013",-258
"148,2","0,04","0,00000014","-275,3"
"160,2","0,05","0,00000016","-292,8"
"172,3","0,05","0,00000017","-299,5"
"182,0","0,05","0,00000018","-307,4"
"193,2","0,06","0,00000019","-312,5"
"203,8","0,06","0,00000020","-313,3"
"215,3","0,06","0,00000021",-319
"230,2","0,07","0,00000022",-319
"246,5","0,07","0,00000024","-321,7"
"261,8","0,08","0,00000025","-323,7"
"274,5","0,08","0,00000027","-322,3"
"288,5","0,08","0,00000028","-325,5"
"299,8","0,09","0,00000029","-324,1"
"312,3","0,09","0,00000030","-325,5"
"325,5","0,09","0,00000032","-328,2"
"340,0","0,10","0,00000033","-325,5"
"354,0","0,10","0,00000034","-328,8"
"368,5","0,11","0,00000036","-327,2"
"383,5","0,11","0,00000037","-328,8"
"396,7","0,12","0,00000038","-329,8"
"411,2","0,12","0,00000040","-327,2"
"425,7","0,12","0,00000041","-330,8"
"438,0","0,13","0,00000042","-328,8"
"451,0","0,13","0,00000044",-329
"464,0","0,13","0,00000045","-330,4"
"477,0","0,14","0,00000046","-328,2"
"489,7","0,14","0,00000047",-331
"502,2","0,15","0,00000049","-328,4"
"513,0","0,15","0,00000050","-328,8"
"525,0","0,15","0,00000051","-328,8"
"539,7","0,16","0,00000052","-325,5"
"555,2","0,16","0,00000054",-327
"573,2","0,17","0,00000055","-322,3"
"592,5","0,17","0,00000057","-321,1"
"611,5","0,18","0,00000059",-319
"629,5","0,18","0,00000061","-313,1"
