,,,
θ ( graus ),θ rad,λ (metros),"Intensidade de luz, canal A ( % do máx. )"
"1000,5","0,29","0,00000096","-237,2"
"1014,3","0,30","0,00000097","-239,3"
"1028,5","0,30","0,00000098","-237,8"
"1042,8","0,30","0,00000100","-241,7"
"1056,3","0,31","0,00000101","-241,1"
"1069,5","0,31","0,00000102","-241,5"
"1084,3","0,32","0,00000103","-245,4"
"1101,0","0,32","0,00000105","-242,5"
"1120,3","0,33","0,00000107","-245,8"
"1141,2","0,33","0,00000109","-246,2"
"1160,3","0,34","0,00000110","-246,6"
"1177,0","0,34","0,00000112","-250,7"
"1193,3","0,35","0,00000113","-247,4"
"1209,3","0,35","0,00000115","-252,1"
"1225,5","0,36","0,00000116","-250,7"
"1242,5","0,36","0,00000118","-251,1"
"1259,3","0,37","0,00000119","-255,5"
"1277,3","0,37","0,00000121","-252,9"
"1298,0","0,38","0,00000123","-257,6"
"1316,8","0,38","0,00000125","-258,8"
"1334,5","0,39","0,00000126","-260,2"
"1353,0","0,39","0,00000128","-263,7"
"1371,5","0,40","0,00000129","-262,1"
"1387,5","0,40","0,00000131","-266,9"
"1404,5","0,41","0,00000132","-266,9"
"1425,5","0,41","0,00000134","-268,6"
"1449,7","0,42","0,00000136","-273,4"
"1472,7","0,43","0,00000138","-271,8"
"1491,8","0,43","0,00000140","-276,7"
"1508,8","0,44","0,00000142","-276,7"
"1527,5","0,44","0,00000143","-276,7"
"1548,0","0,45","0,00000145",-280
"1569,3","0,46","0,00000147","-278,3"
"1589,5","0,46","0,00000149","-283,2"
"1607,2","0,47","0,00000150","-283,2"
"1625,0","0,47","0,00000152","-283,2"
"1642,0","0,48","0,00000153","-287,1"
"1659,8","0,48","0,00000155","-285,7"
"1678,2","0,49","0,00000156","-289,9"
"1695,8","0,49","0,00000158","-289,7"
"1713,7","0,50","0,00000159","-290,5"
"1733,0","0,50","0,00000161",-295
"1755,2","0,51","0,00000163",-293
"1781,5","0,52","0,00000165","-296,4"
"1809,5","0,53","0,00000167","-296,2"
"1840,3","0,54","0,00000170","-297,5"
"1872,0","0,54","0,00000173","-301,9"
"1902,8","0,55","0,00000175","-299,5"
"1931,5","0,56","0,00000178","-304,6"
"1957,3","0,57","0,00000180","-304,4"
"1983,5","0,58","0,00000182","-305,2"
"2010,0","0,58","0,00000184","-308,8"
"2034,2","0,59","0,00000186",-306
"2056,2","0,60","0,00000188","-310,9"
"2077,3","0,60","0,00000189","-309,3"
"2096,2","0,61","0,00000191","-309,5"
"2112,0","0,61","0,00000192","-312,5"
"2128,2","0,62","0,00000193","-310,9"
"2146,0","0,62","0,00000195","-314,1"
"2163,7","0,63","0,00000196","-312,5"
"2182,7","0,63","0,00000198","-312,5"
"2204,5","0,64","0,00000199","-315,8"
"2226,0","0,65","0,00000201","-312,7"
"2248,2","0,65","0,00000203",-316
"2266,7","0,66","0,00000204","-315,8"
"2283,2","0,66","0,00000205","-315,8"
"2299,0","0,67","0,00000207",-319
"2314,7","0,67","0,00000208","-315,8"
"2332,5","0,68","0,00000209","-319,4"
"2351,5","0,68","0,00000211","-318,6"
"2373,5","0,69","0,00000212","-317,8"
"2397,7","0,70","0,00000214","-321,3"
"2423,2","0,70","0,00000216","-318,8"
"2448,0","0,71","0,00000218","-322,3"
"2475,5","0,72","0,00000220","-320,6"
"2502,2","0,73","0,00000222","-320,6"
"2528,0","0,74","0,00000224","-322,9"
"2553,0","0,74","0,00000225","-319,4"
"2577,5","0,75","0,00000227","-323,9"
"2598,2","0,76","0,00000229","-322,3"
"2619,8","0,76","0,00000230","-322,3"
"2642,3","0,77","0,00000232","-324,7"
"2663,5","0,77","0,00000233","-321,7"
"2684,2","0,78","0,00000235","-324,9"
"2705,0","0,79","0,00000236","-323,5"
"2724,2","0,79","0,00000237","-323,3"
"2745,0","0,80","0,00000239","-325,5"
"2765,0","0,80","0,00000240","-322,3"
"2780,2","0,81","0,00000241","-325,5"
"2794,3","0,81","0,00000242","-323,9"
"2805,7","0,82","0,00000243","-323,9"
"2816,3","0,82","0,00000244","-326,3"
"2826,2","0,82","0,00000244","-322,9"
"2834,8","0,82","0,00000245","-325,5"
"2843,7","0,83","0,00000245","-323,9"
"2853,8","0,83","0,00000246","-323,9"
"2863,5","0,83","0,00000247","-325,7"
"2873,5","0,84","0,00000247","-322,5"
"2882,8","0,84","0,00000248","-325,7"
"2892,3","0,84","0,00000249","-324,7"
"2899,5","0,84","0,00000249","-324,5"
"2906,8","0,85","0,00000249","-326,1"
"2914,7","0,85","0,00000250","-322,5"
"2921,2","0,85","0,00000250","-326,8"
"2931,0","0,85","0,00000251","-324,3"
"2942,0","0,86","0,00000252","-324,7"
"2953,0","0,86","0,00000252","-327,2"
"2963,2","0,86","0,00000253","-323,9"
"2971,5","0,86","0,00000254","-327,2"
"2979,2","0,87","0,00000254","-324,1"
"2986,0","0,87","0,00000254","-325,5"
"2991,0","0,87","0,00000255","-327,2"
"2991,3","0,87","0,00000255","-323,9"
"2991,3","0,87","0,00000255",-327
"2991,0","0,87","0,00000255","-325,5"
"2991,0","0,87","0,00000255","-325,5"
"2990,7","0,87","0,00000255",-327
"2990,7","0,87","0,00000255","-323,9"
"2990,7","0,87","0,00000255","-327,4"
"2990,7","0,87","0,00000255","-325,9"
"2990,5","0,87","0,00000255","-326,5"
"2990,5","0,87","0,00000255","-328,8"
"2990,5","0,87","0,00000255","-325,5"
"2990,5","0,87","0,00000255","-329,2"
"2990,5","0,87","0,00000255","-328,2"
"2990,5","0,87","0,00000255",-328
"2990,5","0,87","0,00000255","-329,6"
"2990,2","0,87","0,00000255","-325,5"
"2990,2","0,87","0,00000255",-330
"2990,2","0,87","0,00000255",-328
"2990,2","0,87","0,00000255","-328,6"
"2990,2","0,87","0,00000255","-330,2"
"2990,2","0,87","0,00000255","-326,1"
"2990,2","0,87","0,00000255","-329,6"
"2990,2","0,87","0,00000255","-327,2"
"2990,2","0,87","0,00000255","-328,8"
"2990,2","0,87","0,00000255","-329,4"
"2990,2","0,87","0,00000255","-327,2"
"2990,2","0,87","0,00000255","-330,4"
"2990,2","0,87","0,00000255",-328
"2990,2","0,87","0,00000255","-328,4"
"2990,2","0,87","0,00000255","-329,2"
"2990,0","0,87","0,00000255","-327,2"
"2990,0","0,87","0,00000255","-330,4"
"2990,0","0,87","0,00000255","-328,4"
"2990,0","0,87","0,00000255","-328,8"
"2990,0","0,87","0,00000255",-330
"2990,0","0,87","0,00000255",-327
"2990,0","0,87","0,00000255","-329,2"
"2990,0","0,87","0,00000255","-328,2"
"2990,0","0,87","0,00000255","-328,8"
"2990,0","0,87","0,00000255","-329,8"
"2990,0","0,87","0,00000255","-327,2"
"2990,0","0,87","0,00000255","-330,4"
"2990,0","0,87","0,00000255","-328,8"
"2990,0","0,87","0,00000255","-327,8"
"2990,0","0,87","0,00000255","-330,2"
