,,,
θ ( graus ),θ rad,λ (metros),"Intensidade de luz, canal A ( % do máx. )"
"-0,3","0,00","0,00000000","683,6"
"-0,3","0,00","0,00000000","677,7"
"-0,3","0,00","0,00000000","680,4"
"-0,3","0,00","0,00000000",681
"-0,3","0,00","0,00000000","677,7"
"-0,3","0,00","0,00000000","683,2"
"-0,3","0,00","0,00000000","678,3"
"-0,3","0,00","0,00000000","680,2"
"-0,3","0,00","0,00000000","681,4"
"-0,3","0,00","0,00000000","677,1"
"-0,3","0,00","0,00000000","683,4"
"-0,3","0,00","0,00000000","678,7"
"-0,3","0,00","0,00000000","680,2"
"-0,3","0,00","0,00000000",681
"-0,3","0,00","0,00000000","677,1"
"-0,3","0,00","0,00000000","682,2"
"-0,3","0,00","0,00000000","677,5"
"-0,3","0,00","0,00000000","679,7"
"-0,3","0,00","0,00000000","681,8"
"-0,3","0,00","0,00000000","677,1"
"-0,3","0,00","0,00000000","681,8"
"-0,3","0,00","0,00000000","676,9"
"-0,3","0,00","0,00000000","678,9"
"-0,3","0,00","0,00000000",680
"-0,3","0,00","0,00000000","676,7"
"-0,3","0,00","0,00000000","680,4"
"-0,3","0,00","0,00000000","677,1"
"-0,3","0,00","0,00000000","678,7"
"-0,3","0,00","0,00000000","678,1"
"-0,3","0,00","0,00000000","675,7"
"-0,3","0,00","0,00000000","678,7"
"-0,3","0,00","0,00000000","677,1"
"-0,3","0,00","0,00000000","677,3"
"-0,3","0,00","0,00000000","678,7"
"-0,3","0,00","0,00000000","677,1"
"-0,3","0,00","0,00000000","679,3"
"-0,3","0,00","0,00000000","677,1"
"-0,3","0,00","0,00000000","678,1"
"-0,3","0,00","0,00000000","678,7"
"-0,3","0,00","0,00000000","677,1"
"-0,3","0,00","0,00000000","680,2"
"-0,3","0,00","0,00000000","678,5"
"-0,3","0,00","0,00000000","680,2"
"-0,3","0,00","0,00000000","680,4"
"-0,3","0,00","0,00000000","678,7"
"-0,3","0,00","0,00000000",682
"-0,3","0,00","0,00000000","680,4"
"-0,3","0,00","0,00000000","681,2"
"-0,3","0,00","0,00000000",682
