,,,
θ ( graus ),θ rad,λ (metros),"Intensidade de luz, canal A ( % do máx. )"
"-0,3","0,00","0,00000000","680,4"
"-0,3","0,00","0,00000000","683,6"
"-0,3","0,00","0,00000000","680,8"
"-0,3","0,00","0,00000000",682
"-0,3","0,00","0,00000000","682,2"
"-0,3","0,00","0,00000000","683,4"
"-0,3","0,00","0,00000000","689,9"
0,"0,00","0,00000000","678,3"
0,"0,00","0,00000000","670,6"
"0,3","0,00","0,00000000","665,3"
"0,5","0,00","0,00000000","668,8"
"1,3","0,00","0,00000000","686,5"
2,"0,00","0,00000000","699,7"
3,"0,00","0,00000000",718
"3,7","0,00","0,00000000","732,4"
"4,2","0,00","0,00000000",741
"4,7","0,00","0,00000000","753,4"
"5,5","0,00","0,00000001",756
"6,7","0,00","0,00000001","763,4"
"8,5","0,00","0,00000001","764,4"
"10,7","0,00","0,00000001","755,2"
"13,5","0,00","0,00000001","747,1"
"17,7","0,01","0,00000002","721,1"
"23,7","0,01","0,00000002",682
"30,5","0,01","0,00000003","626,2"
"36,7","0,01","0,00000004","557,3"
"43,3","0,01","0,00000004","491,6"
"49,7","0,01","0,00000005",412
"55,5","0,02","0,00000005","330,2"
"62,5","0,02","0,00000006","236,2"
"70,3","0,02","0,00000007","130,4"
78,"0,02","0,00000008","44,4"
"85,3","0,02","0,00000008","-30,9"
"93,5","0,03","0,00000009","-84,2"
"103,5","0,03","0,00000010","-125,3"
"113,2","0,03","0,00000011","-158,1"
"120,7","0,04","0,00000012","-175,8"
128,"0,04","0,00000012","-196,9"
136,"0,04","0,00000013","-212,4"
"145,5","0,04","0,00000014","-230,7"
"156,5","0,05","0,00000015","-249,8"
"167,7","0,05","0,00000016","-265,3"
"181,2","0,05","0,00000018","-281,8"
"195,5","0,06","0,00000019","-290,1"
210,"0,06","0,00000020",-297
"227,3","0,07","0,00000022","-304,4"
"245,5","0,07","0,00000024","-305,6"
"261,5","0,08","0,00000025","-310,9"
"274,5","0,08","0,00000027","-312,5"
"286,8","0,08","0,00000028","-314,1"
"300,3","0,09","0,00000029","-318,2"
313,"0,09","0,00000030","-315,8"
"326,5","0,09","0,00000032","-320,4"
"340,5","0,10","0,00000033",-319
355,"0,10","0,00000034",-319
369,"0,11","0,00000036","-322,5"
"380,5","0,11","0,00000037","-319,8"
"390,5","0,11","0,00000038","-323,7"
"397,5","0,12","0,00000038","-322,3"
"403,5","0,12","0,00000039","-322,3"
"410,5","0,12","0,00000040","-325,5"
"417,7","0,12","0,00000040","-322,9"
"424,5","0,12","0,00000041","-325,5"
"431,7","0,13","0,00000042","-323,9"
"440,5","0,13","0,00000043","-323,7"
"449,7","0,13","0,00000043","-325,9"
"459,2","0,13","0,00000044","-322,9"
470,"0,14","0,00000045","-325,9"
482,"0,14","0,00000047","-324,1"
"491,7","0,14","0,00000048","-323,3"
500,"0,15","0,00000048","-323,9"
"506,5","0,15","0,00000049","-320,6"
"512,5","0,15","0,00000050","-322,3"
"519,2","0,15","0,00000050",-319
"524,8","0,15","0,00000051","-318,2"
"530,5","0,15","0,00000051",-319
537,"0,16","0,00000052","-314,3"
"544,2","0,16","0,00000053","-314,3"
551,"0,16","0,00000053","-310,9"
"558,8","0,16","0,00000054","-307,6"
"567,7","0,17","0,00000055",-306
"576,2","0,17","0,00000056","-299,5"
585,"0,17","0,00000056","-298,1"
"596,3","0,17","0,00000058","-291,4"
"607,5","0,18","0,00000059","-286,5"
"619,5","0,18","0,00000060","-283,2"
631,"0,18","0,00000061","-273,4"
643,"0,19","0,00000062","-271,2"
"654,2","0,19","0,00000063","-263,9"
"665,8","0,19","0,00000064","-258,6"
"675,8","0,20","0,00000065","-255,1"
"686,2","0,20","0,00000066","-247,4"
697,"0,20","0,00000067","-246,6"
"709,2","0,21","0,00000068","-239,9"
"721,5","0,21","0,00000069","-236,4"
"735,3","0,21","0,00000071","-234,4"
"749,7","0,22","0,00000072","-227,9"
764,"0,22","0,00000073","-227,3"
777,"0,23","0,00000075","-221,4"
791,"0,23","0,00000076","-218,1"
"805,5","0,23","0,00000077","-217,9"
822,"0,24","0,00000079","-211,8"
"836,3","0,24","0,00000080","-212,8"
"850,5","0,25","0,00000082","-208,3"
"865,7","0,25","0,00000083","-207,9"
"881,7","0,26","0,00000085","-208,3"
"897,8","0,26","0,00000086","-205,1"
"914,5","0,27","0,00000088","-208,3"
930,"0,27","0,00000089","-206,7"
"946,5","0,28","0,00000091","-206,5"
"961,8","0,28","0,00000092","-208,3"
"975,8","0,28","0,00000093","-206,7"
"991,3","0,29","0,00000095","-210,2"
"1008,5","0,29","0,00000096","-209,4"
1025,"0,30","0,00000098","-211,6"
"1043,3","0,30","0,00000100","-214,9"
1061,"0,31","0,00000101","-213,2"
"1079,3","0,31","0,00000103","-218,3"
"1097,3","0,32","0,00000105","-217,9"
"1112,5","0,32","0,00000106","-219,9"
"1128,8","0,33","0,00000107","-223,2"
"1146,5","0,33","0,00000109","-221,4"
"1163,7","0,34","0,00000111","-226,2"
"1178,8","0,34","0,00000112",-225
"1193,8","0,35","0,00000113","-226,2"
"1210,5","0,35","0,00000115","-229,1"
"1227,8","0,36","0,00000117","-227,9"
"1246,8","0,36","0,00000118","-233,8"
1264,"0,37","0,00000120",-233
"1279,8","0,37","0,00000121","-236,2"
"1299,3","0,38","0,00000123","-240,1"
"1320,3","0,38","0,00000125","-239,1"
"1339,3","0,39","0,00000127","-244,1"
"1358,8","0,40","0,00000128","-244,1"
"1379,8","0,40","0,00000130","-246,2"
"1400,3","0,41","0,00000132","-250,7"
"1422,3","0,41","0,00000134",-250
"1446,2","0,42","0,00000136","-255,5"
1470,"0,43","0,00000138",-257
1493,"0,43","0,00000140","-258,8"
"1514,3","0,44","0,00000142","-263,3"
"1535,5","0,45","0,00000144","-261,2"
1556,"0,45","0,00000146","-266,9"
"1576,2","0,46","0,00000148","-266,9"
1596,"0,46","0,00000149","-269,6"
"1614,8","0,47","0,00000151",-273
"1632,3","0,47","0,00000152","-272,8"
1648,"0,48","0,00000154","-276,7"
1665,"0,48","0,00000155","-275,9"
"1681,3","0,49","0,00000157","-278,7"
"1696,8","0,49","0,00000158","-281,6"
"1710,5","0,50","0,00000159","-280,2"
"1725,8","0,50","0,00000160","-284,8"
"1740,5","0,51","0,00000162","-284,2"
"1755,2","0,51","0,00000163","-286,3"
"1769,3","0,51","0,00000164","-288,5"
"1783,3","0,52","0,00000165","-287,3"
"1794,5","0,52","0,00000166","-291,4"
1806,"0,53","0,00000167","-289,7"
"1817,5","0,53","0,00000168","-291,1"
"1828,3","0,53","0,00000169",-293
"1840,5","0,54","0,00000170","-291,4"
1853,"0,54","0,00000171","-294,8"
1866,"0,54","0,00000172","-293,2"
"1879,5","0,55","0,00000173","-294,6"
"1892,5","0,55","0,00000174",-297
1907,"0,55","0,00000176","-296,2"
"1921,5","0,56","0,00000177","-299,5"
"1938,5","0,56","0,00000178","-298,1"
"1956,3","0,57","0,00000180","-299,7"
"1976,2","0,57","0,00000181","-302,3"
1997,"0,58","0,00000183","-300,5"
"2016,5","0,59","0,00000185","-305,2"
"2035,2","0,59","0,00000186","-304,4"
"2052,5","0,60","0,00000187","-305,8"
"2068,5","0,60","0,00000189","-307,6"
"2086,3","0,61","0,00000190","-305,8"
2104,"0,61","0,00000192","-309,3"
"2120,8","0,62","0,00000193","-307,2"
"2137,2","0,62","0,00000194","-309,1"
2153,"0,63","0,00000195","-309,9"
"2168,5","0,63","0,00000197","-309,1"
"2183,5","0,64","0,00000198","-312,5"
"2198,2","0,64","0,00000199","-310,3"
"2210,7","0,64","0,00000200","-312,3"
"2221,2","0,65","0,00000201","-312,7"
"2231,8","0,65","0,00000202","-311,7"
"2244,2","0,65","0,00000202","-315,6"
"2253,8","0,66","0,00000203","-312,5"
"2263,5","0,66","0,00000204","-314,1"
"2275,3","0,66","0,00000205","-316,2"
2288,"0,67","0,00000206","-312,5"
"2302,2","0,67","0,00000207","-317,8"
2317,"0,67","0,00000208","-315,2"
"2333,5","0,68","0,00000209",-316
"2349,7","0,68","0,00000211","-317,6"
"2366,5","0,69","0,00000212","-315,8"
"2383,2","0,69","0,00000213",-319
"2401,2","0,70","0,00000214","-317,2"
"2419,5","0,70","0,00000216",-319
"2434,8","0,71","0,00000217","-319,2"
"2449,5","0,71","0,00000218","-317,4"
"2466,2","0,72","0,00000219","-321,7"
2485,"0,72","0,00000221","-318,4"
"2502,7","0,73","0,00000222",-320
"2521,5","0,73","0,00000223","-321,9"
"2541,3","0,74","0,00000225",-319
"2562,7","0,75","0,00000226","-322,7"
2583,"0,75","0,00000228","-320,6"
"2599,5","0,76","0,00000229","-322,1"
2615,"0,76","0,00000230","-322,3"
"2634,8","0,77","0,00000231","-320,6"
"2655,2","0,77","0,00000233","-323,9"
"2675,7","0,78","0,00000234","-321,1"
"2696,2","0,78","0,00000235","-323,1"
"2717,3","0,79","0,00000237","-323,9"
"2735,2","0,80","0,00000238","-322,1"
"2751,8","0,80","0,00000239","-324,9"
"2765,7","0,80","0,00000240","-322,3"
"2777,5","0,81","0,00000241","-323,7"
"2787,5","0,81","0,00000242","-325,3"
"2798,2","0,81","0,00000242","-322,3"
2809,"0,82","0,00000243","-325,5"
"2820,5","0,82","0,00000244","-322,5"
2831,"0,82","0,00000245","-324,3"
"2840,2","0,83","0,00000245","-325,3"
"2849,5","0,83","0,00000246","-322,3"
2859,"0,83","0,00000246","-325,5"
"2868,7","0,83","0,00000247","-322,5"
"2877,7","0,84","0,00000248","-324,3"
2888,"0,84","0,00000248","-325,5"
"2898,2","0,84","0,00000249","-322,5"
"2907,3","0,85","0,00000249","-325,5"
"2915,5","0,85","0,00000250","-322,9"
"2924,2","0,85","0,00000251","-324,3"
2932,"0,85","0,00000251","-325,3"
"2939,5","0,86","0,00000252","-323,3"
"2947,7","0,86","0,00000252","-326,3"
2955,"0,86","0,00000253","-323,5"
"2961,7","0,86","0,00000253","-324,1"
"2969,5","0,86","0,00000253","-325,5"
"2977,7","0,87","0,00000254","-323,9"
"2986,2","0,87","0,00000254","-325,7"
2996,"0,87","0,00000255","-323,5"
"3007,5","0,87","0,00000256","-325,5"
"3009,8","0,88","0,00000256","-325,5"
"3009,8","0,88","0,00000256","-323,3"
"3009,8","0,88","0,00000256","-327,2"
"3009,5","0,88","0,00000256","-324,3"
"3009,3","0,88","0,00000256","-325,5"
"3009,3","0,88","0,00000256","-326,3"
3009,"0,88","0,00000256","-324,3"
3009,"0,88","0,00000256","-327,2"
3009,"0,88","0,00000256","-325,1"
3009,"0,88","0,00000256","-325,9"
3009,"0,88","0,00000256","-327,2"
3009,"0,88","0,00000256","-325,1"
3009,"0,88","0,00000256","-327,4"
"3008,7","0,88","0,00000256","-323,9"
"3008,7","0,88","0,00000256","-325,9"
"3008,7","0,88","0,00000256","-326,8"
"3008,7","0,88","0,00000256","-324,1"
"3008,7","0,88","0,00000256","-327,6"
"3008,7","0,88","0,00000256","-324,9"
"3008,7","0,88","0,00000256","-325,7"
"3008,7","0,88","0,00000256","-325,7"
"3008,7","0,88","0,00000256","-325,1"
"3008,7","0,88","0,00000256","-327,4"
"3008,7","0,88","0,00000256","-325,1"
"3008,7","0,88","0,00000256","-326,1"
"3008,7","0,88","0,00000256","-326,1"
"3008,7","0,88","0,00000256","-324,3"
"3008,5","0,88","0,00000256","-326,8"
"3008,5","0,88","0,00000256","-325,3"
"3008,5","0,88","0,00000256","-325,5"
"3008,5","0,88","0,00000256","-326,1"
"3008,5","0,88","0,00000256","-324,9"
"3008,5","0,88","0,00000256",-328
"3008,5","0,88","0,00000256","-325,5"
"3008,5","0,88","0,00000256","-325,9"
"3008,5","0,88","0,00000256","-327,2"
"3008,5","0,88","0,00000256","-324,1"
"3008,5","0,88","0,00000256",-328
"3008,5","0,88","0,00000256","-325,1"
"3008,5","0,88","0,00000256","-325,9"
"3008,5","0,88","0,00000256","-327,2"
"3008,5","0,88","0,00000256","-324,9"
"3008,5","0,88","0,00000256","-327,4"
"3008,5","0,88","0,00000256","-324,7"
"3008,5","0,88","0,00000256","-325,5"
"3008,5","0,88","0,00000256","-327,2"
"3008,5","0,88","0,00000256","-324,7"
"3008,5","0,88","0,00000256","-327,4"
"3008,5","0,88","0,00000256","-325,3"
"3008,5","0,88","0,00000256","-326,8"
"3008,5","0,88","0,00000256","-327,2"
"3008,5","0,88","0,00000256","-324,1"
"3008,5","0,88","0,00000256",-328
"3008,5","0,88","0,00000256","-325,5"
"3008,2","0,88","0,00000256","-326,3"
"3008,2","0,88","0,00000256",-327
