,,,
θ ( graus ),θ rad,λ (metros),"Intensidade de luz, canal A ( % do máx. )"
"0,0","0,00","0,00000000","1009,8"
"0,0","0,00","0,00000000","1009,1"
"0,0","0,00","0,00000000","1006,3"
"0,0","0,00","0,00000000","1010,8"
"0,0","0,00","0,00000000","1006,1"
"0,0","0,00","0,00000000","1009,3"
"0,0","0,00","0,00000000","1010,6"
"0,0","0,00","0,00000000","1006,5"
"0,0","0,00","0,00000000","1012,4"
"0,0","0,00","0,00000000","1007,5"
"0,0","0,00","0,00000000","1010,8"
"0,0","0,00","0,00000000","1010,8"
"0,0","0,00","0,00000000","1007,5"
"0,0","0,00","0,00000000","1012,6"
"0,0","0,00","0,00000000","1007,5"
"0,0","0,00","0,00000000","1010,8"
"0,0","0,00","0,00000000","1011,4"
"0,0","0,00","0,00000000","1007,9"
"0,0","0,00","0,00000000","1013,8"
"0,0","0,00","0,00000000","1007,7"
"0,0","0,00","0,00000000","1011,6"
"0,0","0,00","0,00000000","1010,8"
"0,0","0,00","0,00000000","1009,1"
"0,0","0,00","0,00000000","1012,4"
"0,0","0,00","0,00000000","1009,1"
"0,0","0,00","0,00000000","1011,4"
"0,0","0,00","0,00000000",1011
"0,0","0,00","0,00000000","1009,1"
"0,0","0,00","0,00000000","1012,8"
"0,0","0,00","0,00000000","1010,8"
"0,0","0,00","0,00000000","1012,6"
"0,0","0,00","0,00000000","1013,8"
"0,0","0,00","0,00000000","1012,6"
"0,0","0,00","0,00000000","1015,7"
"0,0","0,00","0,00000000","1013,6"
"0,0","0,00","0,00000000","1015,7"
"0,0","0,00","0,00000000","1015,7"
"0,0","0,00","0,00000000","1014,8"
"0,0","0,00","0,00000000","1017,3"
"0,0","0,00","0,00000000",1015
"0,0","0,00","0,00000000","1017,3"
"0,0","0,00","0,00000000","1017,3"
"0,0","0,00","0,00000000","1015,7"
"0,0","0,00","0,00000000","1018,7"
"0,0","0,00","0,00000000","1015,7"
"0,0","0,00","0,00000000","1017,3"
"0,0","0,00","0,00000000","1016,9"
"0,0","0,00","0,00000000","1015,7"
"0,0","0,00","0,00000000","1018,9"
"0,0","0,00","0,00000000","1015,7"
"0,0","0,00","0,00000000","1018,5"
"0,0","0,00","0,00000000","1017,7"
"0,0","0,00","0,00000000","1015,9"
"0,0","0,00","0,00000000","1018,9"
"0,0","0,00","0,00000000","1015,9"
"0,0","0,00","0,00000000","1018,3"
"0,0","0,00","0,00000000","1018,3"
"0,0","0,00","0,00000000","1017,3"
"0,0","0,00","0,00000000","1018,9"
"0,0","0,00","0,00000000","1015,7"
"0,0","0,00","0,00000000","1018,5"
"0,0","0,00","0,00000000","1018,5"
"0,0","0,00","0,00000000","1016,1"
"0,0","0,00","0,00000000","1016,5"
"0,0","0,00","0,00000000","1011,4"
"0,0","0,00","0,00000000","1015,9"
"0,0","0,00","0,00000000",1010
"0,0","0,00","0,00000000","1002,6"
"0,0","0,00","0,00000000","981,9"
"0,0","0,00","0,00000000","960,9"
"0,0","0,00","0,00000000","950,5"
"0,0","0,00","0,00000000","957,1"
"0,0","0,00","0,00000000","973,9"
"0,0","0,00","0,00000000","985,1"
"0,0","0,00","0,00000000","985,1"
"0,0","0,00","0,00000000","992,9"
"0,0","0,00","0,00000000","992,9"
"0,0","0,00","0,00000000","983,1"
"0,0","0,00","0,00000000","973,3"
"0,3","0,00","0,00000000","970,7"
"0,3","0,00","0,00000000","976,2"
"0,3","0,00","0,00000000","995,1"
"0,5","0,00","0,00000000","1010,8"
"1,0","0,00","0,00000000","1035,2"
"4,2","0,00","0,00000000","1056,6"
"12,5","0,00","0,00000001","1062,9"
"23,0","0,01","0,00000002","1031,7"
"32,7","0,01","0,00000003","959,7"
"41,2","0,01","0,00000004","880,6"
"50,5","0,01","0,00000005","773,9"
"60,8","0,02","0,00000006","641,3"
"72,8","0,02","0,00000007","460,6"
"87,0","0,03","0,00000008","269,8"
"103,7","0,03","0,00000010","120,9"
"121,5","0,04","0,00000012",13
"136,8","0,04","0,00000013","-58,6"
"152,0","0,04","0,00000015","-117,2"
"166,0","0,05","0,00000016","-168,1"
"178,8","0,05","0,00000017","-206,7"
"190,5","0,06","0,00000018","-237,6"
"200,3","0,06","0,00000019","-255,5"
"209,3","0,06","0,00000020","-268,6"
"218,2","0,06","0,00000021","-279,1"
"227,5","0,07","0,00000022","-283,2"
"236,5","0,07","0,00000023","-291,6"
"245,0","0,07","0,00000024",-293
"253,8","0,07","0,00000025","-296,2"
"262,3","0,08","0,00000025","-299,7"
"269,3","0,08","0,00000026","-299,5"
"276,8","0,08","0,00000027",-304
"283,5","0,08","0,00000027","-302,7"
"289,5","0,08","0,00000028","-305,6"
"296,0","0,09","0,00000029","-307,4"
"301,0","0,09","0,00000029",-306
"306,5","0,09","0,00000030","-309,9"
"313,5","0,09","0,00000030","-309,3"
"320,2","0,09","0,00000031","-309,9"
"327,3","0,10","0,00000032","-312,5"
"334,5","0,10","0,00000032","-310,1"
"341,5","0,10","0,00000033","-313,1"
"348,5","0,10","0,00000034","-312,5"
"356,3","0,10","0,00000034","-312,7"
"365,3","0,11","0,00000035","-315,8"
"376,3","0,11","0,00000036","-312,5"
"390,0","0,11","0,00000038","-317,2"
"402,5","0,12","0,00000039","-315,8"
"415,8","0,12","0,00000040","-315,6"
"428,5","0,12","0,00000041","-317,4"
"438,5","0,13","0,00000042","-315,8"
"448,0","0,13","0,00000043","-318,8"
"458,0","0,13","0,00000044","-316,4"
"467,5","0,14","0,00000045","-316,6"
"476,5","0,14","0,00000046","-318,4"
"485,7","0,14","0,00000047","-314,3"
"492,5","0,14","0,00000048","-316,2"
"498,5","0,15","0,00000048","-312,5"
"504,0","0,15","0,00000049","-310,9"
"509,0","0,15","0,00000049","-311,3"
"514,5","0,15","0,00000050","-306,6"
"521,7","0,15","0,00000050","-307,6"
"530,7","0,15","0,00000051","-302,7"
"541,2","0,16","0,00000052","-297,9"
"551,2","0,16","0,00000053",-293
"560,0","0,16","0,00000054","-283,2"
"568,5","0,17","0,00000055","-278,9"
"576,0","0,17","0,00000056",-270
"583,0","0,17","0,00000056","-262,1"
"590,5","0,17","0,00000057","-257,2"
"599,5","0,17","0,00000058","-246,4"
"608,8","0,18","0,00000059","-240,5"
"618,7","0,18","0,00000060","-230,5"
"628,5","0,18","0,00000061","-221,4"
"639,2","0,19","0,00000062","-213,2"
"650,0","0,19","0,00000063","-201,8"
"661,7","0,19","0,00000064","-195,3"
"674,2","0,20","0,00000065","-185,6"
"687,0","0,20","0,00000066","-177,4"
"701,5","0,20","0,00000068","-170,7"
"716,0","0,21","0,00000069","-159,3"
"729,5","0,21","0,00000070","-154,6"
"742,2","0,22","0,00000071","-146,5"
"754,0","0,22","0,00000073",-140
"764,5","0,22","0,00000074","-136,1"
"774,5","0,23","0,00000074","-128,8"
"786,0","0,23","0,00000076","-128,4"
"799,0","0,23","0,00000077","-123,7"
"813,0","0,24","0,00000078","-121,1"
"829,0","0,24","0,00000080","-120,6"
"845,0","0,25","0,00000081","-116,4"
"860,3","0,25","0,00000083","-117,2"
"875,8","0,25","0,00000084","-115,4"
"891,0","0,26","0,00000085",-115
"905,3","0,26","0,00000087",-117
"919,0","0,27","0,00000088","-115,6"
"932,3","0,27","0,00000089",-119
"947,5","0,28","0,00000091","-118,8"
"962,8","0,28","0,00000092","-120,4"
"977,5","0,28","0,00000094","-123,7"
"993,8","0,29","0,00000095","-123,1"
"1008,0","0,29","0,00000096",-127
"1021,8","0,30","0,00000098","-127,4"
"1037,8","0,30","0,00000099","-130,2"
"1054,5","0,31","0,00000101","-135,1"
"1072,5","0,31","0,00000102","-136,1"
"1090,8","0,32","0,00000104","-141,2"
"1108,3","0,32","0,00000106","-142,8"
"1126,5","0,33","0,00000107","-145,9"
"1145,5","0,33","0,00000109","-150,8"
"1164,3","0,34","0,00000111","-149,7"
"1181,3","0,34","0,00000112","-156,3"
"1198,5","0,35","0,00000114","-156,9"
"1214,5","0,35","0,00000115","-161,1"
"1230,0","0,36","0,00000117",-166
"1246,8","0,36","0,00000118",-166
"1264,3","0,37","0,00000120","-171,3"
"1281,8","0,37","0,00000121","-173,8"
"1298,8","0,38","0,00000123","-177,4"
"1314,5","0,38","0,00000124","-181,3"
"1328,0","0,39","0,00000126","-182,3"
"1342,0","0,39","0,00000127","-187,4"
"1356,3","0,39","0,00000128","-188,8"
"1372,0","0,40","0,00000130","-191,9"
"1387,8","0,40","0,00000131","-196,9"
"1404,5","0,41","0,00000132","-197,4"
"1422,5","0,41","0,00000134","-203,5"
"1441,8","0,42","0,00000136","-205,3"
"1460,0","0,42","0,00000137","-208,3"
"1477,3","0,43","0,00000139","-214,6"
"1494,0","0,43","0,00000140","-214,4"
"1511,0","0,44","0,00000142","-219,7"
"1527,0","0,44","0,00000143","-221,4"
"1542,0","0,45","0,00000145",-224
"1556,5","0,45","0,00000146","-227,9"
"1570,8","0,46","0,00000147","-226,9"
"1584,5","0,46","0,00000148","-232,8"
"1598,5","0,46","0,00000149","-232,8"
"1611,0","0,47","0,00000151","-234,8"
"1625,8","0,47","0,00000152","-238,9"
"1641,5","0,48","0,00000153","-238,2"
"1657,3","0,48","0,00000155","-244,1"
"1671,5","0,49","0,00000156","-244,1"
"1685,0","0,49","0,00000157","-246,4"
"1697,3","0,49","0,00000158","-250,3"
"1709,5","0,50","0,00000159",-249
"1722,8","0,50","0,00000160","-253,9"
"1735,8","0,50","0,00000161","-254,1"
"1748,0","0,51","0,00000162","-256,6"
"1762,0","0,51","0,00000163","-259,8"
"1777,7","0,52","0,00000165","-258,8"
"1793,0","0,52","0,00000166","-263,1"
"1809,8","0,53","0,00000167","-263,5"
"1828,5","0,53","0,00000169","-264,7"
"1848,5","0,54","0,00000171","-268,6"
"1869,5","0,54","0,00000172","-266,9"
"1891,0","0,55","0,00000174","-273,2"
"1913,0","0,56","0,00000176",-272
"1934,5","0,56","0,00000178","-273,9"
"1954,0","0,57","0,00000179","-278,9"
"1973,0","0,57","0,00000181","-278,3"
"1990,7","0,58","0,00000182","-283,2"
"2009,0","0,58","0,00000184","-283,2"
"2025,0","0,59","0,00000185","-284,2"
"2041,7","0,59","0,00000187","-287,7"
"2058,7","0,60","0,00000188","-285,9"
"2076,0","0,60","0,00000189","-291,4"
"2094,0","0,61","0,00000191","-289,7"
"2110,5","0,61","0,00000192","-291,1"
"2125,5","0,62","0,00000193","-294,4"
"2141,3","0,62","0,00000194",-293
"2158,2","0,63","0,00000196","-296,2"
"2177,2","0,63","0,00000197","-295,2"
"2196,8","0,64","0,00000199","-296,2"
"2216,2","0,64","0,00000200","-298,3"
"2236,7","0,65","0,00000202","-297,7"
"2260,5","0,66","0,00000204","-301,1"
"2283,2","0,66","0,00000205","-301,1"
"2305,7","0,67","0,00000207","-302,7"
"2326,7","0,68","0,00000209",-306
"2346,7","0,68","0,00000210","-303,6"
"2364,7","0,69","0,00000212",-307
"2382,0","0,69","0,00000213",-306
"2399,2","0,70","0,00000214",-307
"2416,5","0,70","0,00000215","-309,5"
"2431,2","0,71","0,00000217","-307,6"
"2445,0","0,71","0,00000218","-311,3"
"2458,7","0,72","0,00000219","-309,3"
"2472,5","0,72","0,00000220","-309,9"
"2485,2","0,72","0,00000221","-312,3"
"2498,0","0,73","0,00000221","-309,3"
"2511,2","0,73","0,00000222","-312,9"
"2526,5","0,73","0,00000224","-311,9"
"2539,5","0,74","0,00000224","-312,5"
"2553,7","0,74","0,00000225","-314,3"
"2568,5","0,75","0,00000227","-311,1"
"2583,7","0,75","0,00000228","-315,6"
"2598,5","0,76","0,00000229","-312,5"
"2614,0","0,76","0,00000230","-313,5"
"2632,7","0,77","0,00000231",-316
"2651,8","0,77","0,00000232","-313,7"
"2667,5","0,78","0,00000233","-317,4"
"2684,0","0,78","0,00000235","-315,8"
"2699,8","0,79","0,00000236","-315,8"
"2717,7","0,79","0,00000237","-317,4"
"2734,3","0,80","0,00000238","-315,8"
"2750,0","0,80","0,00000239","-318,6"
"2763,0","0,80","0,00000240","-317,4"
"2774,5","0,81","0,00000241","-317,4"
"2783,2","0,81","0,00000241",-319
"2794,7","0,81","0,00000242","-316,4"
"2808,5","0,82","0,00000243","-319,6"
"2823,0","0,82","0,00000244","-317,8"
