,,,
θ ( graus ),θ rad,λ (metros),"Intensidade de luz, canal A ( % do máx. )"
"0,0","0,00","0,00000000","758,5"
"0,0","0,00","0,00000000",756
"0,0","0,00","0,00000000","756,5"
"0,0","0,00","0,00000000","757,3"
"0,0","0,00","0,00000000","755,2"
"0,0","0,00","0,00000000","759,3"
"0,0","0,00","0,00000000","758,5"
"0,0","0,00","0,00000000","759,7"
"0,0","0,00","0,00000000","761,7"
"0,0","0,00","0,00000000","759,3"
"0,0","0,00","0,00000000","761,7"
"0,0","0,00","0,00000000","759,7"
"0,0","0,00","0,00000000","760,1"
"0,0","0,00","0,00000000","760,1"
"0,0","0,00","0,00000000","757,7"
"0,0","0,00","0,00000000","760,3"
"0,0","0,00","0,00000000","758,5"
"0,0","0,00","0,00000000","758,9"
"0,0","0,00","0,00000000","760,7"
"0,0","0,00","0,00000000","758,5"
"0,0","0,00","0,00000000","760,7"
"0,0","0,00","0,00000000","759,5"
"0,0","0,00","0,00000000","759,9"
"0,0","0,00","0,00000000","760,5"
"0,0","0,00","0,00000000","758,1"
"0,0","0,00","0,00000000","761,3"
"0,0","0,00","0,00000000","758,5"
"0,0","0,00","0,00000000","759,1"
"0,0","0,00","0,00000000","761,7"
"0,0","0,00","0,00000000","758,5"
"0,0","0,00","0,00000000","761,7"
"0,0","0,00","0,00000000","758,5"
"0,0","0,00","0,00000000","760,1"
"0,0","0,00","0,00000000","760,9"
"0,0","0,00","0,00000000","758,7"
"0,0","0,00","0,00000000","762,1"
"0,0","0,00","0,00000000","760,1"
"0,0","0,00","0,00000000","760,3"
"0,0","0,00","0,00000000","761,1"
"0,0","0,00","0,00000000",752
"0,0","0,00","0,00000000",752
"0,0","0,00","0,00000000","743,6"
"0,0","0,00","0,00000000","739,4"
"0,0","0,00","0,00000000",739
"0,0","0,00","0,00000000","745,5"
"0,0","0,00","0,00000000","764,8"
"0,0","0,00","0,00000000","777,4"
"0,3","0,00","0,00000000",790
"0,5","0,00","0,00000000","795,1"
"1,0","0,00","0,00000000","794,9"
"1,8","0,00","0,00000000","797,6"
"3,7","0,00","0,00000000","792,5"
"7,7","0,00","0,00000001","781,1"
"14,2","0,00","0,00000001","751,8"
"19,2","0,01","0,00000002","704,8"
"23,3","0,01","0,00000002","669,6"
"26,7","0,01","0,00000003","633,2"
"29,2","0,01","0,00000003",599
"32,0","0,01","0,00000003","563,2"
"35,8","0,01","0,00000003","522,5"
"39,8","0,01","0,00000004","480,2"
"44,0","0,01","0,00000004","427,5"
"49,5","0,01","0,00000005","367,8"
"55,5","0,02","0,00000005","291,4"
"60,0","0,02","0,00000006","201,6"
"66,0","0,02","0,00000006","118,6"
"74,7","0,02","0,00000007","35,8"
"84,3","0,02","0,00000008","-29,3"
"94,5","0,03","0,00000009",-80
"105,5","0,03","0,00000010","-120,4"
"115,8","0,03","0,00000011","-146,5"
"125,2","0,04","0,00000012","-173,5"
"134,5","0,04","0,00000013","-196,9"
"143,0","0,04","0,00000014","-216,7"
"151,7","0,04","0,00000015","-238,5"
"161,2","0,05","0,00000016","-254,9"
"171,2","0,05","0,00000017","-270,8"
"179,5","0,05","0,00000017",-281
"186,5","0,05","0,00000018","-287,5"
"193,7","0,06","0,00000019","-295,4"
"201,5","0,06","0,00000020","-296,4"
"207,2","0,06","0,00000020","-302,5"
"213,0","0,06","0,00000021","-304,4"
"218,5","0,06","0,00000021","-304,4"
"223,7","0,07","0,00000022","-308,4"
"229,2","0,07","0,00000022","-307,2"
"236,5","0,07","0,00000023","-309,9"
"243,8","0,07","0,00000024","-310,9"
"252,0","0,07","0,00000024","-310,9"
"260,5","0,08","0,00000025","-314,3"
"267,7","0,08","0,00000026","-312,5"
"274,3","0,08","0,00000027","-315,8"
"281,7","0,08","0,00000027","-315,8"
"290,0","0,08","0,00000028","-315,8"
"297,3","0,09","0,00000029",-319
"306,0","0,09","0,00000030","-316,4"
"314,5","0,09","0,00000030",-319
"323,0","0,09","0,00000031",-319
"331,3","0,10","0,00000032",-319
"339,5","0,10","0,00000033","-320,6"
"347,8","0,10","0,00000034",-319
"355,0","0,10","0,00000034","-322,3"
"362,5","0,11","0,00000035","-322,1"
"369,8","0,11","0,00000036","-320,6"
"378,0","0,11","0,00000037","-323,9"
"386,2","0,11","0,00000037","-321,1"
"394,0","0,11","0,00000038","-323,1"
"402,2","0,12","0,00000039","-323,5"
"412,3","0,12","0,00000040","-322,3"
"421,3","0,12","0,00000041","-325,3"
"428,0","0,12","0,00000041","-322,3"
"433,8","0,13","0,00000042","-324,3"
"439,0","0,13","0,00000042","-323,9"
"445,2","0,13","0,00000043","-322,3"
"451,7","0,13","0,00000044","-325,5"
"458,8","0,13","0,00000044","-322,3"
"466,0","0,14","0,00000045","-324,5"
"473,2","0,14","0,00000046","-323,3"
"480,5","0,14","0,00000046","-322,1"
"487,3","0,14","0,00000047","-322,3"
"494,2","0,14","0,00000048",-319
"500,8","0,15","0,00000048","-319,8"
"506,7","0,15","0,00000049","-317,4"
"513,3","0,15","0,00000050",-315
"520,0","0,15","0,00000050","-315,4"
"527,0","0,15","0,00000051","-309,3"
"533,8","0,16","0,00000052","-309,3"
"540,8","0,16","0,00000052","-304,4"
"547,5","0,16","0,00000053","-300,1"
"554,0","0,16","0,00000053","-297,9"
"561,0","0,16","0,00000054","-291,6"
"568,5","0,17","0,00000055","-289,7"
"575,5","0,17","0,00000056","-283,8"
"584,0","0,17","0,00000056","-278,3"
"594,2","0,17","0,00000057","-273,4"
"606,0","0,18","0,00000058","-265,1"
"619,0","0,18","0,00000060","-259,6"
"630,7","0,18","0,00000061","-250,7"
"641,0","0,19","0,00000062","-242,5"
"651,5","0,19","0,00000063","-237,6"
"661,7","0,19","0,00000064","-229,3"
"672,0","0,20","0,00000065","-226,2"
"685,0","0,20","0,00000066","-219,7"
"700,3","0,20","0,00000067","-214,9"
"718,2","0,21","0,00000069","-211,4"
"739,7","0,22","0,00000071","-201,6"
"763,0","0,22","0,00000073","-197,8"
"784,0","0,23","0,00000075","-189,8"
"803,0","0,23","0,00000077","-184,9"
"822,0","0,24","0,00000079","-182,3"
"839,5","0,24","0,00000081","-177,4"
"857,5","0,25","0,00000082",-179
"877,0","0,26","0,00000084","-175,8"
"896,0","0,26","0,00000086","-175,8"
"914,5","0,27","0,00000088","-177,4"
"931,7","0,27","0,00000089",-176
"951,2","0,28","0,00000091","-181,5"
"971,0","0,28","0,00000093","-182,3"
"990,3","0,29","0,00000095","-182,3"
"1004,3","0,29","0,00000096","-185,6"
"1017,0","0,30","0,00000097","-182,9"
"1030,3","0,30","0,00000098","-187,2"
"1043,8","0,30","0,00000100","-188,2"
"1059,5","0,31","0,00000101",-190
"1075,5","0,31","0,00000103","-193,7"
"1090,8","0,32","0,00000104","-192,1"
"1105,5","0,32","0,00000105","-195,3"
"1121,3","0,33","0,00000107","-195,3"
"1139,7","0,33","0,00000108","-196,9"
"1161,0","0,34","0,00000110","-201,8"
"1181,3","0,34","0,00000112","-201,8"
"1201,0","0,35","0,00000114","-207,1"
"1218,8","0,35","0,00000116","-207,1"
"1235,0","0,36","0,00000117","-209,2"
"1250,5","0,36","0,00000119","-214,4"
"1264,5","0,37","0,00000120","-213,8"
"1278,3","0,37","0,00000121","-218,3"
