teta°  nofilter	Zr	Mo
2,5	8	12	2
2,6	8	18	8
2,7	8	11	4
2,8	9	19	9
2,9	3	16	3
3,0	16	14	5
3,1	19	13	7
3,2	27	29	11
3,3	99	69	14
3,4	175	106	26
3,5	316	160	48
3,6	416	201	45
3,7	482	289	56
3,8	576	280	54
3,9	607	285	63
4,0	684	302	59
4,1	699	357	44
4,2	730	323	48
4,3	739	305	45
4,4	725	297	37
4,5	717	304	39
4,6	826	278	17
4,7	803	274	19
4,8	736	258	21
4,9	795	249	16
5,0	724	222	9
5,1	699	194	15
5,2	642	186	14
5,3	675	166	9
5,4	652	133	9
5,5	652	146	8
5,6	607	141	5
5,7	620	113	7
5,8	570	104	12
5,9	546	88	6
6,0	557	80	7
6,1	569	72	41
6,2	893	108	194
6,3	1077	123	277
6,4	983	117	244
6,5	796	80	228
6,6	606	57	186
6,7	494	48	111
6,8	441	73	80
6,9	482	149	98
7,0	1401	852	261
7,1	2063	1341	452
7,2	1911	1251	400
7,3	1481	1007	290
7,4	1028	617	212
7,5	533	300	84
7,6	399	243	55
7,7	384	218	61
7,8	382	209	59
7,9	359	199	48
8,0	359	212	40
8,1	351	190	32
8,2	326	194	31
8,3	352	196	34
8,4	333	184	30
8,5	355	153	26
8,6	342	164	30
8,7	314	169	21
8,8	328	140	25
8,9	329	163	23
9,0	276	134	31
9,1	280	130	23
9,2	275	144	18
9,3	287	124	23
9,4	261	143	20
9,5	236	112	18
9,6	267	94	13
9,7	258	117	18
9,8	240	92	24
9,9	219	111	25
10,0	221	94	21
10,1	237	101	17
10,2	254	83	8
10,3	238	87	14
10,4	230	94	7
10,5	208	89	22
10,6	193	86	22
10,7	186	72	15
10,8	217	68	17
10,9	175	69	18
11,0	181	65	19
11,1	180	70	12
11,2	165	68	14
11,3	159	78	16
11,4	182	72	11
11,5	161	56	15
11,6	156	73	19
11,7	156	54	12
11,8	159	65	16
11,9	147	71	19
12,0	150	61	22
